token,matched_cause,icd_code,match_method,method,notes
Musculoskeletal and Injuri...,,,none,,
Musculoskeletal and Injurie...,,,none,,
Musculoskeletal and Injuries...,,,none,,
Musculoskeletal and Injuries: AC (acromioclavicular) arthritis,,,none,,
Musculoskeletal and Injuries: Accidental fall,,,none,,
Musculoskeletal and Injuries: Achilles tendinitis,,,none,,
Musculoskeletal and Injuries: Achilles tendon tear,,,none,,
Musculoskeletal and Injuries: Achondroplasia (HHS-HCC),,,none,,
Musculoskeletal and Injuries: Acquired bilateral hammer toes 4th left and 5th right,,,none,,
Musculoskeletal and Injuries: Acquired deformity of foot,,,none,,
Musculoskeletal and Injuries: Acquired deformity of neck,,,none,,
Musculoskeletal and Injuries: Acquired hallux valgus of left foot,,,none,,
Musculoskeletal and Injuries: Acquired hallux valgus of right foot,,,none,,
Musculoskeletal and Injuries: Acquired hammer toe,,,none,,
Musculoskeletal and Injuries: Acquired hammer toe of right foot,,,none,,
Musculoskeletal and Injuries: Acquired pes planus of both feet,,,none,,
Musculoskeletal and Injuries: Acquired pes planus of right foot,,,none,,
Musculoskeletal and Injuries: Acquired posterior equinus,,,none,,
Musculoskeletal and Injuries: Acquired trigger finger,,,none,,
Musculoskeletal and Injuries: Acromioclavicular joint arthritis,,,none,,
Musculoskeletal and Injuries: Acu...,,,none,,
Musculoskeletal and Injuries: Acute back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Acute bilateral back pain,,,none,,
Musculoskeletal and Injuries: Acute bilateral low back pain with bilateral sciatica,,,none,,
Musculoskeletal and Injuries: Acute bilateral low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Acute bilateral thoracic back pain,,,none,,
Musculoskeletal and Injuries: Acute gout due to renal impairment involving left hand,,,none,,
Musculoskeletal and Injuries: Acute gout of left foot,,,none,,
Musculoskeletal and Injuries: Acute gout of right knee,,,none,,
Musculoskeletal and Injuries: Acute hip pain,,,none,,
Musculoskeletal and Injuries: Acute left-sided low back pain with left-sided sciatica,,,none,,
Musculoskeletal and Injuries: Acute left-sided low back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Acute left-sided thoracic back pain,,,none,,
Musculoskeletal and Injuries: Acute low back pain,,,none,,
Musculoskeletal and Injuries: Acute medial meniscus tear of left knee,,,none,,
Musculoskeletal and Injuries: Acute medial meniscus tear of right knee,,,none,,
Musculoskeletal and Injuries: Acute midline low back pain with left-sided sciatica,,,none,,
Musculoskeletal and Injuries: Acute midline low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Acute midline thoracic back pain,,,none,,
Musculoskeletal and Injuries: Acute pain of both knees,,,none,,
Musculoskeletal and Injuries: Acute pain of left knee,,,none,,
Musculoskeletal and Injuries: Acute pain of left shoulder,,,none,,
Musculoskeletal and Injuries: Acute pain of left wrist,,,none,,
Musculoskeletal and Injuries: Acute pain of right knee,,,none,,
Musculoskeletal and Injuries: Acute pain of right shoulder,,,none,,
Musculoskeletal and Injuries: Acute right ankle pain,,,none,,
Musculoskeletal and Injuries: Acute right-sided back pain,,,none,,
Musculoskeletal and Injuries: Acute right-sided low back pain with right-sided sciatica,,,none,,
Musculoskeletal and Injuries: Acute right-sided low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Acute sciatica,,,none,,
Musculoskeletal and Injuries: Acute thoracic back pain,,,none,,
Musculoskeletal and Injuries: Acute torn meniscus,,,none,,
Musculoskeletal and Injuries: Acute traumatic inflammation of left hand,,,none,,
Musculoskeletal and Injuries: Adhesive bursitis of right shoulder,,,none,,
Musculoskeletal and Injuries: Adhesive capsulitis of left shoulder,,,none,,
Musculoskeletal and Injuries: Adhesive capsulitis of right shoulder,,,none,,
Musculoskeletal and Injuries: Adhesive capsulitis of shoulder,,,none,,
Musculoskeletal and Injuries: Adverse effect of radiation therapy,,,none,,
Musculoskeletal and Injuries: Aftercare following left hip joint replacement surgery,,,none,,
Musculoskeletal and Injuries: Aftercare following left knee joint replacement surgery,,,none,,
Musculoskeletal and Injuries: Age related osteoporosis,,,none,,
Musculoskeletal and Injuries: Age-related osteoporosis with current pathological fracture,,,none,,
Musculoskeletal and Injuries: Age-related osteoporosis with current pathological fracture of right femur with routine healing,,,none,,
Musculoskeletal and Injuries: Age-related osteoporosis with current pathological fracture with routine healing,,,none,,
Musculoskeletal and Injuries: Age-related osteoporosis without current pathological fracture,,,none,,
Musculoskeletal and Injuries: Allergic arthritis of shoulder region,,,none,,
Musculoskeletal and Injuries: Amputation of leg,,,none,,
Musculoskeletal and Injuries: Ankle fracture,,,none,,
Musculoskeletal and Injuries: Ankle impingement syndrome,,,none,,
Musculoskeletal and Injuries: Ankle pain,,,none,,
Musculoskeletal and Injuries: Ankylosing spondylitis of multiple sites in spine,,,none,,
Musculoskeletal and Injuries: Ankylosis,,,none,,
Musculoskeletal and Injuries: Anterior tibialis tendinitis,,,none,,
Musculoskeletal and Injuries: Anterolisthesis C3-4 grade 1,,,none,,
Musculoskeletal and Injuries: Anterolisthesis of lumbar spine-grade 1 L3-4,,,none,,
Musculoskeletal and Injuries: Anterolisthesis of lumbar spine-L4-5 gr 1,,,none,,
Musculoskeletal and Injuries: Arm pain,,,none,,
Musculoskeletal and Injuries: Arthralgia,,,none,,
Musculoskeletal and Injuries: Arthralgia of ankle,,,none,,
Musculoskeletal and Injuries: Arthralgia of both ankles,,,none,,
Musculoskeletal and Injuries: Arthralgia of both knees,,,none,,
Musculoskeletal and Injuries: Arthralgia of cervical spine,,,none,,
Musculoskeletal and Injuries: Arthralgia of left hip,,,none,,
Musculoskeletal and Injuries: Arthralgia of multiple joints,,,none,,
Musculoskeletal and Injuries: Arthralgia of multiple sites,,,none,,
Musculoskeletal and Injuries: Arthralgia of right hip,,,none,,
Musculoskeletal and Injuries: Arthralgia of right knee,,,none,,
Musculoskeletal and Injuries: Arthralgia of shoulder,,,none,,
Musculoskeletal and Injuries: Arthritis,,,none,,
Musculoskeletal and Injuries: Arthritis involving multiple sites,,,none,,
Musculoskeletal and Injuries: Arthritis of ankle,,,none,,
Musculoskeletal and Injuries: Arthritis of both feet,,,none,,
Musculoskeletal and Injuries: Arthritis of both glenohumeral joints,,,none,,
Musculoskeletal and Injuries: Arthritis of both hips,,,none,,
Musculoskeletal and Injuries: Arthritis of both knees,,,none,,
Musculoskeletal and Injuries: Arthritis of carpometacarpal (CMC) joint of both thumbs,,,none,,
Musculoskeletal and Injuries: Arthritis of foot,,,none,,
Musculoskeletal and Injuries: Arthritis of hand,,,none,,
Musculoskeletal and Injuries: Arthritis of knee,,,none,,
Musculoskeletal and Injuries: Arthritis of left ankle,,,none,,
Musculoskeletal and Injuries: Arthritis of left foot,,,none,,
Musculoskeletal and Injuries: Arthritis of left glenohumeral joint,,,none,,
Musculoskeletal and Injuries: Arthritis of left hip,,,none,,
Musculoskeletal and Injuries: Arthritis of left knee,,,none,,
Musculoskeletal and Injuries: Arthritis of left shoulder region,,,none,,
Musculoskeletal and Injuries: Arthritis of right acromioclavicular joint,,,none,,
Musculoskeletal and Injuries: Arthritis of right ankle,,,none,,
Musculoskeletal and Injuries: Arthritis of right elbow,,,none,,
Musculoskeletal and Injuries: Arthritis of right foot,,,none,,
Musculoskeletal and Injuries: Arthritis of right hip,,,none,,
Musculoskeletal and Injuries: Arthritis of right knee,,,none,,
Musculoskeletal and Injuries: Arthritis of right shoulder region,,,none,,
Musculoskeletal and Injuries: Arthritis of right sternoclavicular joint,,,none,,
Musculoskeletal and Injuries: Arthritis of right wrist,,,none,,
Musculoskeletal and Injuries: Arthritis of shoulder,,,none,,
Musculoskeletal and Injuries: Arthritis of shoulder region,,,none,,
Musculoskeletal and Injuries: Arthritis of wrist,,,none,,
Musculoskeletal and Injuries: Arthritis with psoriasis,,,none,,
Musculoskeletal and Injuries: Arthropathia,,,none,,
Musculoskeletal and Injuries: Arthropathy,,,none,,
Musculoskeletal and Injuries: Arthropathy of pelvis,,,none,,
Musculoskeletal and Injuries: Arthrosis of first carpometacarpal joint,,,none,,
Musculoskeletal and Injuries: Arthrosis of left shoulder,,,none,,
Musculoskeletal and Injuries: Assault by stabbing,,,none,,
Musculoskeletal and Injuries: Asymptomatic hyperuricemia,,,none,,
Musculoskeletal and Injuries: At risk for impaired skin integrity,,,none,,
Musculoskeletal and Injuries: Avascular necrosis of bone,,,none,,
Musculoskeletal and Injuries: Avascular necrosis of femoral head,,,none,,
Musculoskeletal and Injuries: Back injury,,,none,,
Musculoskeletal and Injuries: Back pain,,,none,,
Musculoskeletal and Injuries: Back pain at L4-L5 level,,,none,,
Musculoskeletal and Injuries: Back pain of lumbar region with sciatica,,,none,,
Musculoskeletal and Injuries: Backache,,,none,,
Musculoskeletal and Injuries: Baker cyst,,,none,,
Musculoskeletal and Injuries: Baker's cyst of knee,,,none,,
Musculoskeletal and Injuries: Biceps muscle tear,,,none,,
Musculoskeletal and Injuries: Biceps tendon tear,,,none,,
Musculoskeletal and Injuries: Bicycle accident,,,none,,
Musculoskeletal and Injuries: Bike accident,,,none,,
Musculoskeletal and Injuries: Bilateral chronic knee pain,,,none,,
Musculoskeletal and Injuries: Bilateral foot pain,,,none,,
Musculoskeletal and Injuries: Bilateral hip joint arthritis,,,none,,
Musculoskeletal and Injuries: Bilateral knee pain,,,none,,
Musculoskeletal and Injuries: Bilateral leg pain,,,none,,
Musculoskeletal and Injuries: Bilateral leg weakness,,,none,,
Musculoskeletal and Injuries: Bilateral low back pain with left-sided sciatica,,,none,,
Musculoskeletal and Injuries: Bilateral low back pain with right-sided sciatica,,,none,,
Musculoskeletal and Injuries: Bilateral low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Bilateral neck pain,,,none,,
Musculoskeletal and Injuries: Bilateral primary osteoarthritis of hip,,,none,,
Musculoskeletal and Injuries: Bilateral primary osteoarthritis of knee,,,none,,
Musculoskeletal and Injuries: Bilateral sacroiliitis (CMS-hcc),,,none,,
Musculoskeletal and Injuries: Bilateral shoulder pain,,,none,,
Musculoskeletal and Injuries: Bilateral swelling of feet,,,none,,
Musculoskeletal and Injuries: Bite,,,none,,
Musculoskeletal and Injuries: Blood blister,,,none,,
Musculoskeletal and Injuries: Blunt trauma of face,,,none,,
Musculoskeletal and Injuries: Bone disease,,,none,,
Musculoskeletal and Injuries: Bone lesion,,,none,,
Musculoskeletal and Injuries: Bone spur of right foot,,,none,,
Musculoskeletal and Injuries: Bone spur of toe of right foot third and fourth,,,none,,
Musculoskeletal and Injuries: Bony spur,,,none,,
Musculoskeletal and Injuries: Bunion,,,none,,
Musculoskeletal and Injuries: Bunion of great toe of left foot,,,none,,
Musculoskeletal and Injuries: Bunion of great toe of right foot,,,none,,
Musculoskeletal and Injuries: Bunion of left foot,,,none,,
Musculoskeletal and Injuries: Burn,,,none,,
Musculoskeletal and Injuries: Burn of hand,,,none,,
Musculoskeletal and Injuries: Bursitis of foot,,,none,,
Musculoskeletal and Injuries: Bursitis of hip,,,none,,
Musculoskeletal and Injuries: Bursitis of left hip,,,none,,
Musculoskeletal and Injuries: Bursitis of right elbow,,,none,,
Musculoskeletal and Injuries: Calcaneal spur,,,none,,
Musculoskeletal and Injuries: Calcific tendinitis of shoulder,,,none,,
Musculoskeletal and Injuries: Capsulitis,,,none,,
Musculoskeletal and Injuries: Capsulitis of left ankle,,,none,,
Musculoskeletal and Injuries: Capsulitis of left foot,,,none,,
Musculoskeletal and Injuries: Cervical muscle strain,,,none,,
Musculoskeletal and Injuries: Cervical myopathy,,,none,,
Musculoskeletal and Injuries: Cervical pain,,,none,,
Musculoskeletal and Injuries: Cervicalgia,,,none,,
Musculoskeletal and Injuries: Cervico-occipital neuralgia of the right side,,,none,,
Musculoskeletal and Injuries: Charcot's joint,,,none,,
Musculoskeletal and Injuries: Charcot's joint of right foot,,,none,,
Musculoskeletal and Injuries: Chondrocalcinosis due to pyrophosphate crystals,,,none,,
Musculoskeletal and Injuries: Chondrocalcinosis of right knee,,,none,,
Musculoskeletal and Injuries: Chondromalacia,,,none,,
Musculoskeletal and Injuries: Chondromalacia of both patellae,,,none,,
Musculoskeletal and Injuries: Chondromalacia of left patella,,,none,,
Musculoskeletal and Injuries: Chondromalacia of right knee,,,none,,
Musculoskeletal and Injuries: Chronic arthralgias of knees and hips,,,none,,
Musculoskeletal and Injuries: Chronic back pain,,,none,,
Musculoskeletal and Injuries: Chronic back pain greater than 3 months duration,,,none,,
Musculoskeletal and Injuries: Chronic bilateral back pain,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low ba...,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low back pain with bilateral sciatica,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low back pain with left-sid...,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low back pain with left-sided sciatica,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low back pain with right-sided sciatica,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Chronic bilateral low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Chronic bilateral thoracic back pain,,,none,,
Musculoskeletal and Injuries: Chronic chest wall pain,,,none,,
Musculoskeletal and Injuries: Chronic gout,,,none,,
Musculoskeletal and Injuries: Chronic gout of multiple sites,,,none,,
Musculoskeletal and Injuries: Chronic gout of right ankle,,,none,,
Musculoskeletal and Injuries: Chronic gout without tophus,,,none,,
Musculoskeletal and Injuries: Chronic gouty arthropathy without tophi,,,none,,
Musculoskeletal and Injuries: Chronic idiopathic gout involving toe of left foot without tophus,,,none,,
Musculoskeletal and Injuries: Chronic idiopathic gout involving toe of right foot without tophus,,,none,,
Musculoskeletal and Injuries: Chronic idiopathic gout involving toe without tophus,,,none,,
Musculoskeletal and Injuries: Chronic joint pain,,,none,,
Musculoskeletal and Injuries: Chronic knee pain,,,none,,
Musculoskeletal and Injuries: Chronic left shoulder pain,,,none,,
Musculoskeletal and Injuries: Chronic left-sided low back pain with left-sided sciatica,,,none,,
Musculoskeletal and Injuries: Chronic left-sided low back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Chronic left-sided thoracic back pain,,,none,,
Musculoskeletal and Injuries: Chronic low back pain,,,none,,
Musculoskeletal and Injuries: Chronic low back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Chronic low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Chronic lower back pain,,,none,,
Musculoskeletal and Injuries: Chronic lumbar pain,,,none,,
Musculoskeletal and Injuries: Chronic midline back pain,,,none,,
Musculoskeletal and Injuries: Chronic midline low back pain,,,none,,
Musculoskeletal and Injuries: Chronic midline low back pain with bilateral sciatica,,,none,,
Musculoskeletal and Injuries: Chronic midline low back pain with right-sided sciatica,,,none,,
Musculoskeletal and Injuries: Chronic midline low back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Chronic midline low back pain with sciatica. sees Dr. Ko (pain management),,,none,,
Musculoskeletal and Injuries: Chronic midline low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Chronic neck and back pain,,,none,,
Musculoskeletal and Injuries: Chronic neck pain,,,none,,
Musculoskeletal and Injuries: Chronic osteoarthritis,,,none,,
Musculoskeletal and Injuries: Chronic pain of both knees,,,none,,
Musculoskeletal and Injuries: Chronic pain of left ankle,,,none,,
Musculoskeletal and Injuries: Chronic pain of left knee,,,none,,
Musculoskeletal and Injuries: Chronic pain of multiple joints,,,none,,
Musculoskeletal and Injuries: Chronic pain of right ankle,,,none,,
Musculoskeletal and Injuries: Chronic pain of right elbow,,,none,,
Musculoskeletal and Injuries: Chronic pain of right knee,,,none,,
Musculoskeletal and Injuries: Chronic radicular low back pain,,,none,,
Musculoskeletal and Injuries: Chronic right hip pain,,,none,,
Musculoskeletal and Injuries: Chronic right shoulder pain,,,none,,
Musculoskeletal and Injuries: Chronic right SI joint pain,,,none,,
Musculoskeletal and Injuries: Chronic right-sided low back pain with right-sided sciatica,,,none,,
Musculoskeletal and Injuries: Chronic right-sided low back pain with sciatica,,,none,,
Musculoskeletal and Injuries: Chronic right-sided low back pain without sciatica,,,none,,
Musculoskeletal and Injuries: Chronic ulcer of right ankle,,,none,,
Musculoskeletal and Injuries: Chronic wound infection of abdomen,,,none,,
Musculoskeletal and Injuries: Closed bimalleolar fracture,,,none,,
Musculoskeletal and Injuries: Closed bimalleolar fracture of right ankle,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of distal phalanx of right great toe,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of lateral malleolus of right fibula with routine healing,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of left femoral neck,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of right femoral neck,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of shaft of left clavicle,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of shaft of left clavicle with routine healing,,,none,,
Musculoskeletal and Injuries: Closed displaced fracture of shaft of right clavicle,,,none,,
Musculoskeletal and Injuries: Closed displaced midcervical fracture of left femur,,,none,,
Musculoskeletal and Injuries: Closed fibular fracture,,,none,,
Musculoskeletal and Injuries: Closed fracture dislocation of right elbow,,,none,,
Musculoskeletal and Injuries: Closed fracture of base of fifth metatarsal bone of left foot at metaphyseal-diaphyseal junction,,,none,,
Musculoskeletal and Injuries: Closed fracture of base of neck of femur,,,none,,
Musculoskeletal and Injuries: Closed fracture of body of sternum,,,none,,
Musculoskeletal and Injuries: Closed fracture of bone of right foot,,,none,,
Musculoskeletal and Injuries: Closed fracture of distal end of right fibula,,,none,,
Musculoskeletal and Injuries: Closed fracture of distal end of right tibia with delayed healing,,,none,,
Musculoskeletal and Injuries: Closed fracture of distal ends of left radius and ulna with routine healing,,,none,,
Musculoskeletal and Injuries: Closed fracture of greater tuberosity of humerus,,,none,,
Musculoskeletal and Injuries: Closed fracture of left olecranon process,,,none,,
Musculoskeletal and Injuries: Closed fracture of left proximal humerus,,,none,,
Musculoskeletal and Injuries: Closed fracture of left tibial plateau,,,none,,
Musculoskeletal and Injuries: Closed fracture of lower end of left radius with routine healing,,,none,,
Musculoskeletal and Injuries: Closed fracture of malleolus of right ankle,,,none,,
Musculoskeletal and Injuries: Closed fracture of multiple ribs of both sides,,,none,,
Musculoskeletal and Injuries: Closed fracture of multiple ribs with routine healing,,,none,,
Musculoskeletal and Injuries: Closed fracture of neck of left femur,,,none,,
Musculoskeletal and Injuries: Closed fracture of one rib of left side with routine healing...,,,none,,
Musculoskeletal and Injuries: Closed fracture of one rib of right side,,,none,,
Musculoskeletal and Injuries: Closed fracture of phalanx of foot,,,none,,
Musculoskeletal and Injuries: Closed fracture of proximal end of left humerus with routine healing,,,none,,
Musculoskeletal and Injuries: Closed fracture of proximal end of right fibula,,,none,,
Musculoskeletal and Injuries: Closed fracture of proximal phalanx of great toe,,,none,,
Musculoskeletal and Injuries: Closed fracture of right ankle,,,none,,
Musculoskeletal and Injuries: Closed fracture of right distal radius and ulna,,,none,,
Musculoskeletal and Injuries: Closed fracture of right foot with nonunion,,,none,,
Musculoskeletal and Injuries: Closed fracture of right hip,,,none,,
Musculoskeletal and Injuries: Closed fracture of sacrum,,,none,,
Musculoskeletal and Injuries: Closed fracture of shaft of left humerus with routine healing,,,none,,
Musculoskeletal and Injuries: Closed fracture of upper end of left ulna,,,none,,
Musculoskeletal and Injuries: Closed left fibular fracture,,,none,,
Musculoskeletal and Injuries: Closed nondisplaced comminuted fracture of right patella with routine healing,,,none,,
Musculoskeletal and Injuries: Closed nondisplaced fracture of scaphoid bone of left wrist,,,none,,
Musculoskeletal and Injuries: Closed nondisplaced fracture of shaft of fourth metacarpal bone of left hand,,,none,,
Musculoskeletal and Injuries: Closed right ankle fracture,,,none,,
Musculoskeletal and Injuries: Closed trimalleolar fracture of right ankle,,,none,,
Musculoskeletal and Injuries: Colles' fracture of right radius,,,none,,
Musculoskeletal and Injuries: Complete tear of left rotator cuff,,,none,,
Musculoskeletal and Injuries: Complex tear of medial meniscus of left knee as current injury,,,none,,
Musculoskeletal and Injuries: Complicated laceration of lip,,,none,,
Musculoskeletal and Injuries: Congenital deformity of foot,,,none,,
Musculoskeletal and Injuries: Congenital pectus excavatum,,,none,,
Musculoskeletal and Injuries: Contusion,,,none,,
Musculoskeletal and Injuries: Contusion of back,,,none,,
Musculoskeletal and Injuries: Contusion of left ankle,,,none,,
Musculoskeletal and Injuries: Contusion of lesser toe of left foot without damage to nail,,,none,,
Musculoskeletal and Injuries: Contusion of right knee,,,none,,
Musculoskeletal and Injuries: Coracoclavicular (ligament) sprain,,,none,,
Musculoskeletal and Injuries: Costochondritis,,,none,,
Musculoskeletal and Injuries: Critical illness myopathy,,,none,,
Musculoskeletal and Injuries: Crushing injury of left shoulder,,,none,,
Musculoskeletal and Injuries: Crushing injury of second toe of left foot,,,none,,
Musculoskeletal and Injuries: De Quervain's tenosynovitis,,,none,,
Musculoskeletal and Injuries: Decubitus ulcer of back,,,none,,
Musculoskeletal and Injuries: Degenerative arthritis,,,none,,
Musculoskeletal and Injuries: Degenerative joint disease,,,none,,
Musculoskeletal and Injuries: Degenerative joint disease (DJD) of hip,,,none,,
Musculoskeletal and Injuries: Degenerative joint disease involving multiple joints,,,none,,
Musculoskeletal and Injuries: Degenerative joint disease of hand,,,none,,
Musculoskeletal and Injuries: Dehiscence of surgical wound,,,none,,
Musculoskeletal and Injuries: Derangement of knee,,,none,,
Musculoskeletal and Injuries: Derangement of left knee,,,none,,
Musculoskeletal and Injuries: Derangement of medial meniscus,,,none,,
Musculoskeletal and Injuries: Derangement of right knee ligament,,,none,,
Musculoskeletal and Injuries: Diabetic wet gangrene of the foot,,,none,,
Musculoskeletal and Injuries: Diastasis recti,,,none,,
Musculoskeletal and Injuries: Diffuse pain in left upper extremity,,,none,,
Musculoskeletal and Injuries: Disorder of bone and articular cartilage,,,none,,
Musculoskeletal and Injuries: Disorder of bursae and tendons in shoulder region,,,none,,
Musculoskeletal and Injuries: Disorder of left rotator cuff,,,none,,
Musculoskeletal and Injuries: Disorder of muscle,,,none,,
Musculoskeletal and Injuries: Disorder of soft tissue,,,none,,
Musculoskeletal and Injuries: Displaced fracture of left femoral neck,,,none,,
Musculoskeletal and Injuries: Distal radius fracture,,,none,,
Musculoskeletal and Injuries: DJD,,,none,,
Musculoskeletal and Injuries: DJD (degenerative joint disease),,,none,,
Musculoskeletal and Injuries: DJD (degenerative joint disease) of knee,,,none,,
Musculoskeletal and Injuries: Dog bite,,,none,,
Musculoskeletal and Injuries: Dupuytren's contracture,,,none,,
Musculoskeletal and Injuries: Effusion into joint,,,none,,
Musculoskeletal and Injuries: Effusion of both knee joints,,,none,,
Musculoskeletal and Injuries: Effusion of left knee,,,none,,
Musculoskeletal and Injuries: Elbow pain,,,none,,
Musculoskeletal and Injuries: Elevated blood uric acid level,,,none,,
Musculoskeletal and Injuries: Elevated uric acid in blood,,,none,,
Musculoskeletal and Injuries: Enteropathic arthritis,,,none,,
Musculoskeletal and Injuries: Enthesopathy of hip region,,,none,,
Musculoskeletal and Injuries: Epicondylitis,,,none,,
Musculoskeletal and Injuries: Equinus deformity of both feet,,,none,,
Musculoskeletal and Injuries: Equinus deformity of right foot,,,none,,
Musculoskeletal and Injuries: Face lacerations,,,none,,
Musculoskeletal and Injuries: Facial laceration,,,none,,
Musculoskeletal and Injuries: Failed back syndrome,,,none,,
Musculoskeletal and Injuries: Failed back syndrome of lumbar spine,,,none,,
Musculoskeletal and Injuries: Failed total left knee replacement (CMS-hcc),,,none,,
Musculoskeletal and Injuries: Fall,,,none,,
Musculoskeletal and Injuries: Fall after seizure,,,none,,
Musculoskeletal and Injuries: Fall against object,,,none,,
Musculoskeletal and Injuries: Fall at home,,,none,,
Musculoskeletal and Injuries: Family history of arthritis,,,none,,
Musculoskeletal and Injuries: Family history of osteoporosis in mother,,,none,,
Musculoskeletal and Injuries: Fatigue due to excessive exertion,,,none,,
Musculoskeletal and Injuries: Fibromyalgia,,,none,,
Musculoskeletal and Injuries: Fibromyalgia syndrome,,,none,,
Musculoskeletal and Injuries: Fibromyositis,,,none,,
Musculoskeletal and Injuries: Fibrosis of right knee joint,,,none,,
Musculoskeletal and Injuries: Fibrosis of right subtalar joint,,,none,,
Musculoskeletal and Injuries: Finger injury,,,none,,
Musculoskeletal and Injuries: Finger injury LMF,,,none,,
Musculoskeletal and Injuries: Finger joint swelling,,,none,,
Musculoskeletal and Injuries: Finger pain,,,none,,
Musculoskeletal and Injuries: Flat foot,,,none,,
Musculoskeletal and Injuries: Foot arch pain,,,none,,
Musculoskeletal and Injuries: Foot pain,,,none,,
Musculoskeletal and Injuries: Foot swelling,,,none,,
Musculoskeletal and Injuries: Foreign body of left hand,,,none,,
Musculoskeletal and Injuries: Foreign body of right hand,,,none,,
Musculoskeletal and Injuries: Fracture,,,none,,
Musculoskeletal and Injuries: Fracture closed,,,none,,
Musculoskeletal and Injuries: Fracture of 5th metatarsal,,,none,,
Musculoskeletal and Injuries: Fracture of clavicle with routine healing,,,none,,
Musculoskeletal and Injuries: Fracture of distal end of left radius,,,none,,
Musculoskeletal and Injuries: Fracture of hand,,,none,,
Musculoskeletal and Injuries: Fracture of head of radius,,,none,,
Musculoskeletal and Injuries: Fracture of humeral head,,,none,,
Musculoskeletal and Injuries: Fracture of left humerus with malunion,,,none,,
Musculoskeletal and Injuries: Fracture of multiple ribs of both sides,,,none,,
Musculoskeletal and Injuries: Fracture of ramus of left pubis,,,none,,
Musculoskeletal and Injuries: Fracture of right distal radius,,,none,,
Musculoskeletal and Injuries: Fracture of third metacarpal bone,,,none,,
Musculoskeletal and Injuries: Fractures,,,none,,
Musculoskeletal and Injuries: Fusion of spine,,,none,,
Musculoskeletal and Injuries: Ganglion and cyst of synovium,,,none,,
Musculoskeletal and Injuries: Ganglion cyst,,,none,,
Musculoskeletal and Injuries: Ganglion cyst of foot,,,none,,
Musculoskeletal and Injuries: Ganglion of joint,,,none,,
Musculoskeletal and Injuries: Ganglion of right hand,,,none,,
Musculoskeletal and Injuries: Generalized OA,,,none,,
Musculoskeletal and Injuries: Generalized osteoarthritis,,,none,,
Musculoskeletal and Injuries: Generalized osteoarthritis of multiple sites,,,none,,
Musculoskeletal and Injuries: Generalized osteoarthrosis,,,none,,
Musculoskeletal and Injuries: Glenohumeral arthritis,,,none,,
Musculoskeletal and Injuries: Glenoid fracture of shoulder,,,none,,
Musculoskeletal and Injuries: Gluteal pain,,,none,,
Musculoskeletal and Injuries: Gout,,,none,,
Musculoskeletal and Injuries: Gout attack,,,none,,
Musculoskeletal and Injuries: Gout due to renal impairment of multiple sites,,,none,,
Musculoskeletal and Injuries: Gout involving toe,,,none,,
Musculoskeletal and Injuries: Gout of big toe,,,none,,
Musculoskeletal and Injuries: Gout of foot,,,none,,
Musculoskeletal and Injuries: Gout of multiple sites,,,none,,
Musculoskeletal and Injuries: Gout of right hand,,,none,,
Musculoskeletal and Injuries: Gout of right knee,,,none,,
Musculoskeletal and Injuries: Gouty arthritis,,,none,,
Musculoskeletal and Injuries: Gouty arthritis of left foot,,,none,,
Musculoskeletal and Injuries: Gouty arthropathy,,,none,,
Musculoskeletal and Injuries: Greater trochanteric bursitis of right hip,,,none,,
Musculoskeletal and Injuries: Groin hematoma,,,none,,
Musculoskeletal and Injuries: GSW (gunshot wound),,,none,,
Musculoskeletal and Injuries: H,,,none,,
Musculoskeletal and Injuries: Haglund's deformity,,,none,,
Musculoskeletal and Injuries: Haglund's deformity of both heels,,,none,,
Musculoskeletal and Injuries: Hallux abducto valgus,,,none,,
Musculoskeletal and Injuries: Hallux limitus,,,none,,
Musculoskeletal and Injuries: Hallux limitus of left foot,,,none,,
Musculoskeletal and Injuries: Hallux rigidus,,,none,,
Musculoskeletal and Injuries: Hallux rigidus of left foot,,,none,,
